task_id,section_id,department,defect_type,severity,reported_date,due_date,days_overdue,estimated_duration_hours,required_crews,required_machinery,safety_risk_flag,punctuality_impact_score,is_emergency,notes
TSK-S&T-0048,SEC-002,S&T,Track Lead Cable Insulation Degradation,Minor,2026-09-11,2026-10-01,0,2.5,1,Megger Insulation Tester,False,35.0,False,Generated synthetic maintenance order for Track Lead Cable Insulation Degradation
TSK-TRA-0049,SEC-002,Traction,Earth Bonding / Jumper Wire Replacement,Minor,2026-09-05,2026-09-22,0,1.5,1,Manual Bonding Kit,False,25.0,False,Generated synthetic maintenance order for Earth Bonding / Jumper Wire Replacement
TSK-S&T-0050,SEC-003,S&T,LED Signal Aspect Failure on Home Signal,Major,2026-08-30,2026-09-08,7,1.5,1,Aspect Measurement Unit,True,80.0,False,Generated synthetic maintenance order for LED Signal Aspect Failure on Home Signal
TSK-TRA-0051,SEC-002,Traction,OHE Insulator Flashover / Heavy Flashing,Critical,2026-08-29,2026-08-31,15,2.0,1,Ladder Trolley,True,88.0,False,Generated synthetic maintenance order for OHE Insulator Flashover / Heavy Flashing
TSK-S&T-0052,SEC-001,S&T,OFC Cable Low Optical Margin / Splicing Maintenance,Major,2026-09-10,2026-09-20,0,2.5,1,OTDR Splicing Machine,False,45.0,False,Generated synthetic maintenance order for OFC Cable Low Optical Margin / Splicing Maintenance
TSK-TRA-0053,SEC-008,Traction,OHE Cantilever Height & Stagger Adjustment,Major,2026-09-06,2026-09-19,0,1.5,1,OHE Tower Wagon,False,50.0,False,Generated synthetic maintenance order for OHE Cantilever Height & Stagger Adjustment
TSK-ENG-0054,SEC-001,Engineering,Fishplate Bolt Loose / Missing at Glued Joint,Major,2026-08-31,2026-09-11,4,2.5,1,Torque Wrench Unit,True,60.0,False,Generated synthetic maintenance order for Fishplate Bolt Loose / Missing at Glued Joint
TSK-TRA-0055,SEC-012,Traction,OHE Cantilever Height & Stagger Adjustment,Major,2026-08-20,2026-09-03,12,1.5,1,OHE Tower Wagon,False,50.0,False,Generated synthetic maintenance order for OHE Cantilever Height & Stagger Adjustment
TSK-ENG-0056,SEC-004,Engineering,Ballast Tamping & Track Packing (High Unevenness),Major,2026-09-11,2026-09-18,0,3.5,1,CSM Tamping Machine,False,65.0,False,Generated synthetic maintenance order for Ballast Tamping & Track Packing (High Unevenness)
TSK-TRA-0057,SEC-001,Traction,25kV OHE Contact Wire Parting / Dropper Snapped,Critical,2026-08-25,2026-08-30,16,3.5,2,OHE Tower Wagon,True,92.0,False,Generated synthetic maintenance order for 25kV OHE Contact Wire Parting / Dropper Snapped
TSK-S&T-0058,SEC-001,S&T,Digital Axle Counter (DAC) Track Circuit Dropping,Critical,2026-08-27,2026-08-29,17,1.5,1,DAC Signal Analyzer,True,90.0,False,Generated synthetic maintenance order for Digital Axle Counter (DAC) Track Circuit Dropping
TSK-ENG-0059,SEC-002,Engineering,Sleeper Replacement on Approach Bridge,Major,2026-08-22,2026-09-01,14,4.0,2,Crane / Dip-Lorry,False,55.0,False,Generated synthetic maintenance order for Sleeper Replacement on Approach Bridge
TSK-ENG-0060,SEC-004,Engineering,Sleeper Replacement on Approach Bridge,Major,2026-08-25,2026-09-01,14,4.5,2,Crane / Dip-Lorry,False,55.0,False,Generated synthetic maintenance order for Sleeper Replacement on Approach Bridge
